name	gini
Namibia	70.7
South Africa	65
Lesotho	63.2
Botswana	63
Sierra Leone	62.9
Central African Republic	61.3
Haiti	59.2
Bolivia	58.2
Honduras	57.7
Colombia	56
Guatemala	55.1
Thailand	53.6
Hong Kong	53.3
Paraguay	53.2
Chile	52.1
Brazil	51.9
Panama	51.9
Mexico	51.7
Papua New Guinea	50.9
Zambia	50.8
Swaziland	50.4
Costa Rica	50.3
Gambia, The	50.2
Zimbabwe	50.1
Sri Lanka	49
Dominican Republic	48.4
China	48
Madagascar	47.5
Singapore	47.3
Ecuador	47.3
Nepal	47.2
El Salvador	46.9
Rwanda	46.8
Malaysia	46.2
Peru	46
Argentina	45.8
Philippines	45.8
Mozambique	45.6
Jamaica	45.5
Uruguay	45.3
Bulgaria	45.3
United States	45
Guyana	44.6
Cameroon	44.6
Iran	44.5
Cambodia	44.4
Uganda	44.3
Macedonia	44.2
Nigeria	43.7
Kenya	42.5
Burundi	42.4
Russia	42
Cote d'Ivoire	41.5
Senegal	41.3
Morocco	40.9
Georgia	40.8
Turkmenistan	40.8
Nicaragua	40.5
Turkey	40.2
Mali	40.1
Tunisia	40
Jordan	39.7
Burkina Faso	39.5
Guinea	39.4
Ghana	39.4
Israel	39.2
Mauritania	39
Mauritius	39
Venezuela	39
Malawi	39
Portugal	38.5
Moldova	38
Yemen	37.7
Vietnam	37.6
Japan	37.6
Tanzania	37.6
India	36.8
Uzbekistan	36.8
Indonesia	36.8
Laos	36.7
Mongolia	36.5
Benin	36.5
New Zealand	36.2
Bosnia and Herzegovina	36.2
Lithuania	35.5
Algeria	35.3
Latvia	35.2
Albania	34.5
Egypt	34.4
Poland	34.2
United Kingdom	34
Niger	34
Ireland	33.9
Switzerland	33.7
Azerbaijan	33.7
Kyrgyzstan	33.4
Romania	33.3
Bangladesh	33.2
Greece	33
France	32.7
Taiwan	32.6
Tajikistan	32.6
Canada	32.1
Italy	32
Spain	32
Timor-Leste	31.9
Estonia	31.3
Korea, South	31
Czech Republic	31
Armenia	30.9
Netherlands	30.9
Pakistan	30.6
Australia	30.5
European Union	30.4
Ethiopia	30
Kosovo	30
Cyprus	29
Slovenia	28.4
Serbia	28.2
Iceland	28
Belgium	28
Ukraine	27.5
Belarus	27.2
Germany	27
Croatia	27
Finland	26.8
Kazakhstan	26.7
Slovakia	26
Luxembourg	26
Malta	26
Austria	26
Norway	25
Denmark	24.8
Hungary	24.7
Montenegro	24.3
Sweden	23
