name	life_expectancy
Afghanistan	49.72
Albania	77.59
Algeria	74.73
American Samoa	74.44
Andorra	82.5
Angola	54.59
Anguilla	80.98
Antigua and Barbuda	75.69
Argentina	77.14
Armenia	73.49
Aruba	75.93
Australia	81.9
Austria	79.91
Azerbaijan	71.32
Bahamas, The	71.44
Bahrain	78.29
Bangladesh	70.06
Barbados	74.52
Belarus	71.48
Belgium	79.65
Belize	68.28
Benin	60.26
Bermuda	80.82
Bhutan	67.88
Bolivia	67.9
Bosnia and Herzegovina	78.96
Botswana	55.74
Brazil	72.79
British Virgin Islands	77.95
Brunei	76.37
Bulgaria	73.84
Burkina Faso	54.07
Burma	65.24
Burundi	59.24
Cambodia	63.04
Cameroon	54.71
Canada	81.48
Cape Verde	71
Cayman Islands	80.8
Central African Republic	50.48
Chad	48.69
Chile	78.1
China	74.84
Colombia	74.79
Comoros	62.74
Congo, Democratic Republic of the	55.74
Congo, Republic of the	55.27
Cook Islands	74.92
Costa Rica	77.89
Cote d'Ivoire	57.25
Croatia	75.99
Cuba	77.87
Cyprus	78
Czech Republic	77.38
Denmark	78.78
Djibouti	61.57
Dominica	76.18
Dominican Republic	77.44
Ecuador	75.94
Egypt	72.93
El Salvador	73.69
Equatorial Guinea	62.75
Eritrea	62.86
Estonia	73.58
Ethiopia	56.56
European Union	79.76
Faroe Islands	79.85
Fiji	71.59
Finland	79.41
France	81.46
French Polynesia	76.39
Gabon	52.29
Gambia, The	63.82
Gaza Strip	74.16
Georgia	77.32
Germany	80.19
Ghana	61.45
Gibraltar	78.83
Greece	80.05
Greenland	71.25
Grenada	73.3
Guam	78.5
Guatemala	71.17
Guernsey	82.24
Guinea	58.61
Guinea-Bissau	49.11
Guyana	67.39
Haiti	62.51
Honduras	70.71
Hong Kong	82.12
Hungary	75.02
Iceland	81
India	67.14
Indonesia	71.62
Iran	70.35
Iraq	70.85
Ireland	80.32
Isle of Man	80.76
Israel	81.07
Italy	81.86
Jamaica	73.43
Japan	83.91
Jersey	81.47
Jordan	80.18
Kazakhstan	69.63
Kenya	63.07
Kiribati	64.76
Korea, North	69.2
Korea, South	79.3
Kuwait	77.28
Kyrgyzstan	69.45
Laos	62.77
Latvia	72.93
Lebanon	75.23
Lesotho	51.86
Liberia	57.41
Libya	77.83
Liechtenstein	81.5
Lithuania	75.55
Luxembourg	79.75
Macau	84.43
Macedonia	75.36
Madagascar	64
Malawi	52.31
Malaysia	74.04
Maldives	74.69
Mali	53.06
Malta	79.85
Marshall Islands	72.03
Mauritania	61.53
Mauritius	74.71
Mexico	76.66
Micronesia, Federated States of	71.8
Moldova	69.51
Monaco	89.68
Mongolia	68.63
Montserrat	73.41
Morocco	76.11
Mozambique	52.02
Namibia	52.17
Nauru	65.7
Nepal	66.51
Netherlands	80.91
New Caledonia	76.94
New Zealand	80.71
Nicaragua	72.18
Niger	53.8
Nigeria	52.05
Northern Mariana Islands	77.27
Norway	80.32
Oman	74.47
Pakistan	66.35
Palau	72.06
Panama	77.96
Papua New Guinea	66.46
Paraguay	76.4
Peru	72.73
Philippines	71.94
Poland	76.25
Portugal	78.7
Puerto Rico	79.07
Qatar	78.09
Romania	74.22
Russia	66.46
Rwanda	58.44
Saint Helena, Ascension, and Tristan da Cunha	78.91
Saint Kitts and Nevis	74.84
Saint Lucia	77.04
Saint Pierre and Miquelon	80
Saint Vincent and the Grenadines	74.39
Samoa	72.66
San Marino	83.07
Sao Tome and Principe	63.49
Saudi Arabia	74.35
Senegal	60.18
Serbia	74.56
Seychelles	73.77
Sierra Leone	56.55
Singapore	83.75
Slovakia	76.03
Slovenia	77.48
Solomon Islands	74.42
Somalia	50.8
South Africa	49.41
Spain	81.27
Sri Lanka	75.94
Sudan	62.57
Suriname	71.12
Swaziland	49.42
Sweden	81.18
Switzerland	81.17
Syria	74.92
Taiwan	78.48
Tajikistan	66.38
Tanzania	53.14
Thailand	73.83
Timor-Leste	68.27
Togo	63.17
Tonga	75.38
Trinidad and Tobago	71.67
Tunisia	75.24
Turkey	72.77
Turkmenistan	68.84
Turks and Caicos Islands	79.26
Tuvalu	65.11
Uganda	53.45
Ukraine	68.74
United Arab Emirates	76.71
United Kingdom	80.17
United States	78.49
Uruguay	76.41
Uzbekistan	72.77
Vanuatu	65.06
Venezuela	74.08
Vietnam	72.41
Virgin Islands	79.47
Wallis and Futuna	79.12
West Bank	75.24
Western Sahara	61.52
Yemen	64.11
Zambia	52.57
Zimbabwe	51.82
